"tartaric_acid","acetic_acid","citric_acid","residual_sugar","sodium_chloride","free_sulfur_dioxide","total_sulfur_dioxide","density","pH","potassium_sulphate","alcohol","quality"
7.3,0.31,0.69,10.2,0.041,58,160,0.9977,3.06,0.45,8.6,5
5.2,0.24,0.45,3.8,0.027,21,128,0.992,3.55,0.49,11.2,8
7.2,0.37,0.15,2,0.029,27,87,0.9903,3.3,0.59,12.6,7
6.1,0.29,0.27,1.7,0.024,13,76,0.9893,3.21,0.51,12.6,7
9.2,0.22,0.4,2.4,0.054,18,151,0.9952,3.04,0.46,9.3,4
5.9,0.415,0.13,1.4,0.04,11,64,0.9922,3.29,0.52,10.5,5
6.7,0.105,0.32,12.4,0.051,34,106,0.998,3.54,0.45,9.2,6
6.4,0.125,0.29,5.85,0.042,24,99,0.992,3.23,0.32,12,7
7.9,0.25,0.29,5.3,0.031,33,117,0.9918,3.06,0.32,11.8,7
6.8,0.39,0.31,14.35,0.043,28,162,0.9988,3.17,0.54,9.1,5
7.4,0.41,0.34,4.7,0.042,19,127,0.9953,3.25,0.42,10.4,5
6.7,0.25,0.34,12.85,0.048,30,161,0.9986,3.44,0.47,9.5,6
6,0.26,0.42,5.2,0.027,70,178,0.9914,3.4,0.4,12.3,8
9.2,0.28,0.46,3.2,0.058,39,133,0.996,3.14,0.58,9.5,5
9.3,0.34,0.49,7.3,0.052,30,146,0.998,3.17,0.61,10.2,5
9.2,0.28,0.46,3.2,0.058,39,133,0.996,3.14,0.58,9.5,5
6.7,0.25,0.23,7.2,0.038,61,220,0.9952,3.14,0.35,9.5,5
6.8,0.32,0.18,7.5,0.041,71,223,0.9959,3.14,0.41,8.9,5
6.1,0.6,0,1.3,0.042,24,79,0.9937,3.31,0.38,9.4,4
5.3,0.395,0.07,1.3,0.035,26,102,0.992,3.5,0.35,10.6,6
7.6,0.33,0.36,2.1,0.034,26,172,0.9944,3.42,0.48,10.5,4
7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,6
7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,6
7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,6
7.5,0.14,0.34,1.3,0.055,50,153,0.9945,3.29,0.8,9.6,6
5.7,0.26,0.27,4.1,0.201,73.5,189.5,0.9942,3.27,0.38,9.4,6
6,0.24,0.32,6.3,0.03,34,129,0.9946,3.52,0.41,10.4,5
7.4,0.23,0.43,1.4,0.044,22,113,0.9938,3.22,0.62,10.6,6
7.4,0.22,0.33,2,0.045,31,101,0.9931,3.42,0.55,11.4,5
6.8,0.25,0.29,2,0.042,19,189,0.9952,3.46,0.54,10.2,6
6.6,0.21,0.38,2.2,0.026,40,104,0.9914,3.25,0.4,11.1,8
7.1,0.21,0.3,1.4,0.037,45,143,0.9932,3.13,0.33,9.9,6
7.6,0.26,0.47,1.6,0.068,5,55,0.9944,3.1,0.45,9.6,5
6.9,0.25,0.26,5.2,0.024,36,135,0.9948,3.16,0.72,10.7,7
7.1,0.26,0.32,14.45,0.074,29,107,0.998,2.96,0.42,9.2,6
6.9,0.25,0.26,5.2,0.024,36,135,0.9948,3.16,0.72,10.7,7
7.3,0.22,0.4,14.75,0.042,44.5,129.5,0.9998,3.36,0.41,9.1,7
7,0.17,0.37,1.5,0.028,26,75,0.9922,3.3,0.46,10.8,7
5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,6
5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,6
8,0.23,0.46,1.5,0.03,30,125,0.9907,3.23,0.47,12.5,6
7.3,0.27,0.39,6.7,0.064,28,188,0.9958,3.29,0.3,9.7,5
6.4,0.23,0.33,1.15,0.044,15.5,217.5,0.992,3.33,0.44,11,6
7.3,0.29,0.3,13,0.043,46,238,0.9986,3.06,0.41,8.7,6
7.7,0.39,0.3,5.2,0.037,29,131,0.9943,3.38,0.44,11,6
7.8,0.32,0.31,1.7,0.036,46,195,0.993,3.03,0.48,10.5,5
10.3,0.25,0.48,2.2,0.042,28,164,0.998,3.19,0.59,9.7,5
7.4,0.18,0.42,2.1,0.036,33,187,0.9938,3.4,0.41,10.6,7
6.4,0.26,0.22,5.1,0.037,23,131,0.9944,3.29,0.32,10.1,5
7.2,0.18,0.31,1.1,0.045,20,73,0.9925,3.32,0.4,10.8,7
5.3,0.26,0.23,5.15,0.034,48,160,0.9952,3.82,0.51,10.5,7
5.7,0.245,0.33,1.1,0.049,28,150,0.9927,3.13,0.42,9.3,5
6.4,0.17,0.27,6.7,0.036,88,223,0.9948,3.28,0.35,10.2,6
6.9,0.29,0.16,6.8,0.034,65,212,0.9955,3.08,0.39,9,6
6.2,0.21,0.38,6.8,0.036,64,245,0.9951,3.06,0.36,9.3,6
6.4,0.23,0.3,7.1,0.037,63,236,0.9952,3.06,0.34,9.2,6
7.3,0.19,0.68,1.5,0.05,31,156,0.9946,3.32,0.64,9.4,6
7.3,0.18,0.65,1.4,0.046,28,157,0.9946,3.33,0.62,9.4,6
6.9,0.31,0.34,7.4,0.059,36,174,0.9963,3.46,0.62,11.1,7
7.5,0.28,0.34,4.2,0.028,36,116,0.991,2.99,0.41,12.3,8
8.1,0.5,0.47,1.1,0.037,23,126,0.9938,3.21,0.42,10.9,5
7.4,0.31,0.74,10.7,0.039,51,147,0.9977,3.02,0.43,8.7,5
8.3,0.21,0.4,1.6,0.032,35,110,0.9907,3.02,0.6,12.9,7
6.9,0.39,0.22,4.3,0.03,10,102,0.993,3,0.87,11.6,4
7.5,0.23,0.32,9.2,0.038,54,191,0.9966,3.04,0.56,9.7,6
9,0.245,0.38,5.9,0.045,52,159,0.995,2.93,0.35,10.2,6
7.4,0.19,0.42,6.4,0.067,39,212,0.9958,3.3,0.33,9.6,6
8.2,0.2,0.36,8.1,0.035,60,163,0.9952,3.05,0.3,10.3,6
7.9,0.14,0.45,1.8,0.05,17,114,0.9948,3.33,0.49,10.7,7
9.4,0.17,0.55,1.6,0.049,14,94,0.9949,3.02,0.61,10.3,6
6.4,0.31,0.4,6.2,0.04,46,169,0.9953,3.15,0.46,9.3,6
7.9,0.255,0.26,2,0.026,40,190,0.9932,3.04,0.39,11.2,6
7,0.15,0.34,1.4,0.039,21,177,0.9927,3.32,0.62,10.8,5
7.6,0.19,0.42,1.5,0.044,6,114,0.9914,3.04,0.74,12.8,6
7.7,0.32,0.48,2.3,0.04,28,114,0.9911,3.2,0.52,12.8,7
6.8,0.15,0.32,8.8,0.058,24,110,0.9972,3.4,0.4,8.8,6
7.9,0.16,0.64,17,0.05,69,210,1.0004,3.15,0.51,9.3,7
7.8,0.21,0.39,1.8,0.034,62,180,0.991,3.09,0.75,12.6,8
6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,5
6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,5
8.4,0.58,0.27,12.15,0.033,37,116,0.9959,2.99,0.39,10.8,6
7.2,0.16,0.32,0.8,0.04,50,121,0.9922,3.27,0.33,10,6
8.4,0.58,0.27,12.15,0.033,37,116,0.9959,2.99,0.39,10.8,6
7.3,0.23,0.37,1.9,0.041,51,165,0.9908,3.26,0.4,12.2,8
7,0.46,0.39,6.2,0.039,46,163,0.9928,3.21,0.35,12.2,7
8.2,0.35,0.4,6.3,0.039,35,162,0.9936,3.15,0.34,11.9,7
7.8,0.29,0.36,7,0.042,38,161,0.9941,3.26,0.37,11.2,8
5.7,0.21,0.24,2.3,0.047,60,189,0.995,3.65,0.72,10.1,6
6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,5
6.2,0.12,0.26,5.7,0.044,56,158,0.9951,3.52,0.37,10.5,6
6.4,0.25,0.33,1.4,0.04,42,115,0.9906,3.19,0.48,11.3,7
6.9,0.32,0.16,1.4,0.051,15,96,0.994,3.22,0.38,9.5,4
7.6,0.27,0.24,3.8,0.058,19,115,0.9958,3.15,0.45,8.9,5
7.4,0.64,0.47,14.15,0.168,42,185,0.9984,2.9,0.49,9.3,5
8.3,0.26,0.41,9.2,0.042,41,162,0.9944,3.1,0.38,12,7
6.9,0.27,0.41,1.7,0.047,6,134,0.9929,3.15,0.69,11.4,6
5.7,0.43,0.3,5.7,0.039,24,98,0.992,3.54,0.61,12.3,7
6.8,0.23,0.4,1.6,0.047,5,133,0.993,3.23,0.7,11.4,6
7.3,0.18,0.29,1.2,0.044,12,143,0.9918,3.2,0.48,11.3,7
6.2,0.16,0.47,1.4,0.029,23,81,0.99,3.26,0.42,12.2,6
6.6,0.42,0.33,2.8,0.034,15,85,0.99,3.28,0.51,13.4,6
7.3,0.18,0.29,1.2,0.044,12,143,0.9918,3.2,0.48,11.3,7
7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,7
8.2,0.22,0.36,6.8,0.034,12,90,0.9944,3.01,0.38,10.5,8
7.1,0.19,0.28,3.6,0.033,16,78,0.993,2.91,0.78,11.4,6
7,0.2,0.34,5.7,0.035,32,83,0.9928,3.19,0.46,11.5,6
8.1,0.29,0.49,7.1,0.042,22,124,0.9944,3.14,0.41,10.8,6
5.8,0.17,0.3,1.4,0.037,55,130,0.9909,3.29,0.38,11.3,6
6.6,0.23,0.26,1.3,0.045,16,128,0.9934,3.36,0.6,10,6
6.9,0.35,0.74,1,0.044,18,132,0.992,3.13,0.55,10.2,5
6.9,0.23,0.24,14.2,0.053,19,94,0.9982,3.17,0.5,9.6,5
8.2,0.18,0.49,1.1,0.033,28,81,0.9923,3,0.68,10.4,7
6.1,0.25,0.49,7.6,0.052,67,226,0.9956,3.16,0.47,8.9,5
7.2,0.26,0.74,13.6,0.05,56,162,0.998,3.03,0.44,8.8,5
7.2,0.31,0.24,1.4,0.057,17,117,0.9928,3.16,0.35,10.5,5
7,0.18,0.49,5.3,0.04,34,125,0.9914,3.24,0.4,12.2,6
6.9,0.19,0.49,6.6,0.036,49,172,0.9932,3.2,0.27,11.5,6
7.2,0.4,0.49,1.1,0.048,11,138,0.9929,3.01,0.42,9.3,5
7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,6
7.6,0.52,0.49,14,0.034,37,156,0.9958,3.14,0.38,11.8,7
8.3,0.21,0.49,19.8,0.054,50,231,1.0012,2.99,0.54,9.2,5
6.9,0.34,0.74,11.2,0.069,44,150,0.9968,3,0.81,9.2,5
6.3,0.27,0.49,1.2,0.063,35,92,0.9911,3.38,0.42,12.2,6
7.9,0.11,0.49,4.5,0.048,27,133,0.9946,3.24,0.42,10.6,6
8.5,0.17,0.74,3.6,0.05,29,128,0.9928,3.28,0.4,12.4,6
7.2,0.4,0.49,1.1,0.048,11,138,0.9929,3.01,0.42,9.3,5
7,0.2,0.49,5.9,0.038,39,128,0.9938,3.21,0.48,10.8,6
7.2,0.08,0.49,1.3,0.05,18,148,0.9945,3.46,0.44,10.2,6
7.2,0.08,0.49,1.3,0.05,18,148,0.9945,3.46,0.44,10.2,6
6.7,0.16,0.49,2.4,0.046,57,187,0.9952,3.62,0.81,10.4,6
7.4,0.28,0.49,1.5,0.034,20,126,0.9918,2.98,0.39,10.6,6
5.6,0.185,0.49,1.1,0.03,28,117,0.9918,3.55,0.45,10.3,6
8,0.3,0.49,9.4,0.046,47,188,0.9964,3.14,0.48,10,5
7.7,0.27,0.49,1.8,0.041,23,86,0.9914,3.16,0.42,12.5,6
6.7,0.51,0.24,2.1,0.043,14,155,0.9904,3.22,0.6,13,6
8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1,5
6.8,0.36,0.24,4.6,0.039,24,124,0.9909,3.27,0.34,12.6,7
7,0.17,0.74,12.8,0.045,24,126,0.9942,3.26,0.38,12.2,8
8.1,0.2,0.49,8.1,0.051,51,205,0.9954,3.1,0.52,11,6
7.9,0.2,0.49,1.6,0.053,15,144,0.993,3.16,0.47,10.5,5
7.3,0.155,0.49,1.3,0.039,34,136,0.9926,3.14,0.77,10.5,6
8.4,0.23,0.49,7.8,0.035,22,95,0.9935,3.04,0.34,12,6
8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1,5
7.4,0.27,0.49,1.1,0.037,33,156,0.992,3.15,0.54,11.1,6
6.6,0.21,0.49,18.15,0.042,41,158,0.9997,3.28,0.39,8.7,6
7.5,0.23,0.49,7.7,0.049,61,209,0.9941,3.14,0.3,11.1,7
8.5,0.15,0.49,1.5,0.031,17,122,0.9932,3.03,0.4,10.3,6
8.9,0.13,0.49,1,0.028,6,24,0.9926,2.91,0.32,9.9,5
6.7,0.29,0.49,4.7,0.034,35,156,0.9945,3.13,0.45,9.9,6
7.1,0.36,0.24,1.8,0.025,32,102,0.9903,3.34,0.59,12.8,6
7.9,0.42,0.49,8.2,0.056,32,164,0.9965,3.29,0.6,11.2,7
6.9,0.24,0.49,1.3,0.032,35,148,0.9932,3.45,0.57,10.7,7
7.9,0.18,0.49,5.2,0.051,36,157,0.9953,3.18,0.48,10.6,6
6.2,0.43,0.49,6.4,0.045,12,115,0.9963,3.27,0.57,9,4
7.8,0.3,0.74,1.8,0.033,33,156,0.991,3.29,0.52,12.8,6
8.5,0.19,0.49,3.5,0.044,29,117,0.9938,3.14,0.51,10.1,6
7.4,0.3,0.49,8.2,0.055,49,188,0.9974,3.52,0.58,9.7,6
6.9,0.22,0.49,7,0.063,50,168,0.9957,3.54,0.5,10.3,6
9.8,0.31,0.49,15.4,0.046,13,119,1.0004,3.18,0.45,9.5,5
8.4,0.24,0.49,7.4,0.039,46,108,0.9934,3.03,0.33,11.9,7
6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1,5
7,0.29,0.49,3.8,0.047,37,136,0.9938,2.95,0.4,9.4,6
6.4,0.27,0.49,7.3,0.046,53,206,0.9956,3.24,0.43,9.2,6
6.3,0.24,0.74,1.4,0.172,24,108,0.9932,3.27,0.39,9.9,6
6.7,0.33,0.49,1.6,0.167,20,94,0.9914,3.11,0.5,11.4,6
8.2,0.34,0.49,8,0.046,55,223,0.996,3.08,0.52,10.7,6
8.2,0.26,0.49,5.2,0.04,19,100,0.9941,3.12,0.34,10.1,6
7.8,0.26,0.49,3.2,0.027,28,87,0.9919,3.03,0.32,11.3,7
6.2,0.22,0.49,6,0.029,31,128,0.9928,3.41,0.36,11.3,8
7.8,0.26,0.49,3.2,0.027,28,87,0.9919,3.03,0.32,11.3,7
8.9,0.32,0.49,1.6,0.05,17,131,0.9956,3.13,0.34,9.4,5
6.5,0.44,0.49,7.7,0.045,16,169,0.9957,3.11,0.37,8.7,6
6.4,0.26,0.49,6.4,0.037,37,161,0.9954,3.38,0.53,9.7,6
9,0.22,0.49,10.4,0.048,52,195,0.9987,3.31,0.44,10.2,6
8.2,0.2,0.49,3.5,0.057,14,108,0.9928,3.19,0.35,11.5,6
7.8,0.49,0.49,7,0.043,29,149,0.9952,3.21,0.33,10,5
8.1,0.12,0.49,1.2,0.042,43,160,0.9934,3.13,0.48,9.7,6
7.6,0.47,0.49,13,0.239,42,220,0.9988,2.96,0.51,9.2,5
7.9,0.22,0.49,3.8,0.042,26,105,0.993,3.1,0.39,10.5,5
6.4,0.22,0.49,7.5,0.054,42,151,0.9948,3.27,0.52,10.1,6
8.1,0.3,0.49,12.3,0.049,50,144,0.9971,3.09,0.57,10.2,7
7.8,0.21,0.49,1.2,0.036,20,99,0.99,3.05,0.28,12.1,7
8.2,0.29,0.49,1,0.044,29,118,0.9928,3.24,0.36,10.9,4
7.9,0.33,0.28,31.6,0.053,35,176,1.0103,3.15,0.38,8.8,6
6.6,0.46,0.49,7.4,0.052,19,184,0.9956,3.11,0.38,9,5
7.8,0.28,0.49,1.3,0.046,27,142,0.9936,3.09,0.59,10.2,5
8.1,0.28,0.46,15.4,0.059,32,177,1.0004,3.27,0.58,9,4
7.9,0.18,0.33,1.2,0.033,20,72,0.9922,3.12,0.38,10.5,7
7.1,0.31,0.38,1.2,0.036,10,124,0.9924,3.14,0.44,9.9,6
7.8,0.24,0.18,6.7,0.046,33,160,0.9963,3.2,0.56,9.8,6
6.6,0.27,0.31,5.3,0.137,35,163,0.9951,3.2,0.38,9.3,5
6.4,0.35,0.2,5.7,0.034,18,117,0.9944,3.33,0.43,10.1,5
7.6,0.32,0.34,18.35,0.054,44,197,1.0008,3.22,0.55,9,5
7.2,0.25,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9,7
7.3,0.26,0.33,17.85,0.049,41.5,195,1,3.06,0.44,9.1,7
7.4,0.26,0.37,9.4,0.047,42,147,0.9982,3.46,0.72,10,5
7,0.24,0.3,4.2,0.04,41,213,0.9927,3.28,0.49,11.8,6
8.5,0.32,0.36,14.9,0.041,47,190,0.9982,3.08,0.31,10,6
7.9,0.29,0.36,11.1,0.033,43,208,0.9969,3.14,0.46,10.3,5
6.6,0.25,0.31,1.5,0.035,32,127,0.9921,3.41,0.47,11.3,6
7,0.61,0.26,1.7,0.051,25,161,0.9946,3.36,0.6,10.6,4
6.8,0.22,0.3,13.6,0.055,50,180,0.9984,3.44,0.39,9.8,5
8.1,0.31,0.24,1.6,0.032,10,67,0.9924,3.08,0.47,10.5,5
6.8,0.3,0.24,6.6,0.123,35,116,0.9953,3.07,0.48,9.4,5
6.5,0.18,0.34,1.6,0.04,43,148,0.9912,3.32,0.59,11.5,8
9.3,0.2,0.33,1.7,0.05,28,178,0.9954,3.16,0.43,9,4
5.8,0.23,0.27,1.8,0.043,24,69,0.9933,3.38,0.31,9.4,6
7.6,0.2,0.39,2.6,0.044,30,180,0.9941,3.46,0.44,10.8,7
7.5,0.4,1,19.5,0.041,33,148,0.9977,3.24,0.38,12,6
7.6,0.445,0.44,14.5,0.045,68,212,0.9986,3.48,0.36,10,6
9.2,0.23,0.3,1.1,0.031,40,99,0.9929,2.94,0.3,10.4,6
6.9,0.16,0.3,9.6,0.057,50,185,0.9978,3.39,0.38,9.6,6
6.7,0.16,0.28,2.5,0.046,40,153,0.9921,3.38,0.51,11.4,7
6.9,0.29,0.23,8.6,0.056,56,215,0.9967,3.17,0.44,8.8,5
7.3,0.21,0.3,10.9,0.037,18,112,0.997,3.4,0.5,9.6,6
6.7,0.27,0.25,8,0.053,54,202,0.9961,3.22,0.43,9.3,5
7.8,0.39,0.26,9.9,0.059,33,181,0.9955,3.04,0.42,10.9,6
8.7,0.45,0.4,1.5,0.067,17,100,0.9957,3.27,0.57,10.1,6
6.7,0.24,0.29,6.8,0.038,54,127,0.9932,3.33,0.46,11.6,7
7.2,0.26,0.3,2.1,0.033,50,158,0.9909,3.33,0.43,12.1,7
7.8,0.2,0.24,1.6,0.026,26,189,0.991,3.08,0.74,12.1,7
7.4,0.35,0.31,17.95,0.062,42,187,1.0002,3.27,0.64,9.1,5
6.9,0.25,0.27,9.05,0.039,37,128,0.9936,3.27,0.34,11.3,8
6.8,0.23,0.29,15.4,0.073,56,173,0.9984,3.06,0.41,8.7,6
9.4,0.16,0.23,1.6,0.042,14,67,0.9942,3.07,0.32,9.5,5
8.8,0.2,0.43,15,0.053,60,184,1.0008,3.28,0.79,8.8,6
7.2,0.15,0.38,1.2,0.038,18,110,0.9917,3.19,0.43,11.1,6
6.8,0.33,0.28,1.2,0.032,38,131,0.9889,3.19,0.41,13,6
6.8,0.3,0.35,2.8,0.038,10,164,0.9912,3.09,0.53,12,6
8.2,0.42,0.29,4.1,0.03,31,100,0.9911,3,0.32,12.8,7
7.3,0.19,0.24,6.3,0.054,34,231,0.9964,3.36,0.54,10,6
7.4,0.49,0.24,15.1,0.03,34,153,0.9953,3.13,0.51,12,7
6.4,0.21,0.3,5.6,0.044,43,160,0.9949,3.6,0.41,10.6,6
8,0.55,0.42,12.6,0.211,37,213,0.9988,2.99,0.56,9.3,5
6.9,0.18,0.33,1,0.054,24,164,0.9926,3.42,0.51,10.5,5
8.3,0.28,0.45,7.8,0.059,32,139,0.9972,3.33,0.77,11.2,6
6.8,0.24,0.35,6.4,0.048,44,172,0.9944,3.29,0.55,10.5,7
8,0.22,0.28,14,0.053,83,197,0.9981,3.14,0.45,9.8,6
10,0.91,0.42,1.6,0.056,34,181,0.9968,3.11,0.46,10,4
8.9,0.34,0.34,1.6,0.056,13,176,0.9946,3.14,0.47,9.7,5
6.7,0.18,0.19,4.7,0.046,57,161,0.9946,3.32,0.66,10.5,6
6.6,0.28,0.3,7.8,0.049,57,202,0.9958,3.24,0.39,9.5,5
7.6,0.27,0.25,13.9,0.05,45,199,0.9984,3.34,0.5,9.8,6
6.3,0.19,0.21,1.8,0.049,35,163,0.9924,3.31,0.5,10.3,6
6.6,0.31,0.38,16.05,0.058,16,165,0.9997,3.38,0.6,9.2,5
8,0.25,0.26,14,0.043,41,248,0.9986,3.03,0.57,8.7,6
7.2,0.2,0.61,16.2,0.043,14,103,0.9987,3.06,0.36,9.2,6
7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,5
7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,5
7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,5
6.4,0.22,0.32,7.9,0.029,34,124,0.9948,3.4,0.39,10.2,5
7.3,0.24,0.41,13.6,0.05,41,178,0.9988,3.37,0.43,9.7,5
7.6,0.15,0.4,1.3,0.036,24,112,0.9932,3.14,0.76,10,5
6.8,0.24,0.31,18.3,0.046,40,142,1,3.3,0.41,8.7,5
6.7,0.44,0.31,1.9,0.03,41,104,0.99,3.29,0.62,12.6,7
7.4,0.21,0.3,7.9,0.039,14,118,0.9942,2.96,0.34,10.4,5
7.2,0.36,0.36,5.7,0.038,26,98,0.9914,2.93,0.59,12.5,7
7.9,0.3,0.27,8.5,0.036,20,112,0.9939,2.96,0.46,11.7,6
8.3,0.23,0.3,2.1,0.049,21,153,0.9953,3.09,0.5,9.6,6
8.1,0.26,0.33,11.1,0.052,52.5,158,0.9976,3.03,0.49,10.2,7
7.6,0.13,0.34,9.3,0.062,40,126,0.9966,3.21,0.39,9.6,5
7,0.12,0.19,4.9,0.055,27,127,0.9953,3.29,0.41,9.4,5
7.1,0.25,0.28,1.6,0.052,46,169,0.9926,3.05,0.41,10.5,5
9.2,0.27,0.34,10.5,0.043,49,228,0.9974,3.04,0.41,10.4,6
7.2,0.47,0.65,8.3,0.083,27,182,0.9964,3,0.35,9.2,5
6.8,0.28,0.36,1.6,0.04,25,87,0.9924,3.23,0.66,10.3,6
8.8,0.34,0.33,9.7,0.036,46,172,0.9966,3.08,0.4,10.2,5
6.8,0.31,0.32,7.6,0.052,35,143,0.9959,3.14,0.38,9,5
7.2,0.19,0.31,1.4,0.046,37,135,0.9939,3.34,0.57,10.2,7
8,0.25,0.13,17.2,0.036,49,219,0.9996,2.96,0.46,9.7,5
7.4,0.32,0.55,16.6,0.056,53,238,1.0017,2.96,0.58,8.7,6
8.5,0.17,0.31,1,0.024,13,91,0.993,2.79,0.37,10.1,5
6.8,0.28,0.37,7,0.057,35,208,0.9973,3.57,0.55,10.2,5
7.9,0.33,0.26,1.2,0.044,23,103,0.9932,3.19,0.54,10.5,6
7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8
7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8
8,0.22,0.32,10.4,0.043,63,201,0.997,3.11,0.53,9.5,6
7,0.28,0.33,14.6,0.043,47,168,0.9994,3.34,0.67,8.8,6
7.3,0.18,0.31,17.3,0.055,32,197,1.0002,3.13,0.46,9,6
7.6,0.17,0.35,1.6,0.047,43,154,0.9934,3.36,0.69,11.1,6
7.4,0.26,0.31,2.4,0.043,58,178,0.9941,3.42,0.68,10.6,6
7,0.28,0.33,14.6,0.043,47,168,0.9994,3.34,0.67,8.8,6
8.4,0.2,0.38,11.8,0.055,51,170,1.0004,3.34,0.82,8.9,6
5.6,0.18,0.31,1.5,0.038,16,84,0.9924,3.34,0.58,10.1,6
7.2,0.15,0.39,1.8,0.043,21,159,0.9948,3.52,0.47,10,5
6.6,0.32,0.22,16.7,0.046,38,133,0.9979,3.22,0.67,10.4,6
7.6,0.34,0.39,7.6,0.04,45,215,0.9965,3.11,0.53,9.2,6
6.4,0.26,0.4,1.7,0.179,5,60,0.9925,3.09,0.54,10.1,5
6.9,0.32,0.15,8.1,0.046,51,180,0.9958,3.13,0.45,8.9,5
8.9,0.21,0.34,7.1,0.037,33,150,0.9962,3.1,0.45,9.7,6
5.6,0.13,0.27,4.8,0.028,22,104,0.9948,3.34,0.45,9.2,6
8.7,0.24,0.35,0.6,0.042,11,71,0.9926,3.08,0.38,10.6,5
6.8,0.33,0.44,7,0.05,29,155,0.9955,3.14,0.42,9.5,5
6.3,0.28,0.24,8.45,0.031,32,172,0.9958,3.39,0.57,9.7,7
8.6,0.485,0.29,4.1,0.026,19,101,0.9918,3.01,0.38,12.4,5
7.3,0.29,0.29,4.6,0.029,27,155,0.9931,3.07,0.26,10.6,6
5.7,0.46,0.46,1.4,0.04,31,169,0.9932,3.13,0.47,8.8,5
6.7,0.23,0.33,1.8,0.036,23,96,0.9925,3.32,0.4,10.8,6
6.6,0.22,0.28,4.9,0.042,51,180,0.9952,3.3,0.75,9.5,6
5.7,0.32,0.18,1.4,0.029,26,104,0.9906,3.44,0.37,11,6
7.1,0.33,0.25,1.6,0.03,25,126,0.9901,3.22,0.34,12.1,7
7.3,0.34,0.3,1.3,0.057,25,173,0.9948,3.26,0.51,9.1,6
6.6,0.27,0.29,5.3,0.045,57,189,0.9953,3.31,0.79,9.8,5
5.9,0.17,0.3,1.4,0.042,25,119,0.9931,3.68,0.72,10.5,6
7.4,0.45,0.32,7.1,0.044,17,117,0.9962,3.32,0.41,10.4,4
7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,6
8.3,0.17,0.31,1.5,0.049,48,153,0.9942,3.12,0.58,9.4,6
7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,6
7.2,0.24,0.19,7.7,0.045,53,176,0.9958,3.17,0.38,9.5,5
5.3,0.76,0.03,2.7,0.043,27,93,0.9932,3.34,0.38,9.2,5
6.8,0.32,0.34,6,0.05,5,129,0.9953,3.19,0.4,9.1,5
7.4,0.18,0.36,13.1,0.056,72,163,1,3.42,0.35,9.1,6
6,0.16,0.3,6.7,0.043,43,153,0.9951,3.63,0.46,10.6,5
6.7,0.24,0.33,12.3,0.046,31,145,0.9983,3.36,0.4,9.5,5
6.8,0.28,0.35,2.3,0.042,16,85,0.9906,3.19,0.56,12.4,6
6,0.27,0.15,1.5,0.056,35,128,0.9936,3.12,0.45,8.8,5
6,0.16,0.3,6.7,0.043,43,153,0.9951,3.63,0.46,10.6,5
7.7,0.23,0.31,10.7,0.038,59,186,0.9969,3.12,0.55,9.5,6
5.7,0.33,0.15,1.9,0.05,20,93,0.9934,3.38,0.62,9.9,5
7.7,0.26,0.32,1.2,0.04,26,117,0.993,3.21,0.56,10.8,5
6.4,0.2,0.32,3.1,0.041,18,126,0.9914,3.43,0.42,12,6
8,0.16,0.36,1.5,0.033,14,122,0.9941,3.2,0.39,10.3,4
6.5,0.43,0.28,12,0.056,23,174,0.9986,3.31,0.55,9.3,5
7.2,0.16,0.26,7.1,0.054,41,224,0.9966,3.38,0.55,10.1,5
7.9,0.18,0.36,5.9,0.058,31,132,0.995,3.25,0.52,10.9,6
5.5,0.24,0.32,8.7,0.06,19,102,0.994,3.27,0.31,10.4,5
8.2,0.21,0.32,10.65,0.053,53,145,0.9972,3.17,0.48,10.2,6
7.2,0.2,0.31,10,0.054,49,165,0.997,3.4,0.42,9.9,6
7.7,0.28,0.35,15.3,0.056,31,117,0.9998,3.27,0.5,9.6,5
